Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-01-01,3294191.84
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-02-01,3188060.05
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-03-01,2971166.22
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-04-01,2861591.94
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-05-01,3142472.63
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-06-01,3335500.95
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-07-01,3862018.14
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-08-01,3775624.59
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-09-01,4033152.6599999997
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-10-01,4104289.84
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-11-01,3911595.49
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447,2024-12-01,4174707.5899999994
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-01-01,431482.13
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-02-01,370593.5
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-03-01,698637.54
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-04-01,641432.37
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-05-01,585490.93
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-06-01,567382.73
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-07-01,620703.09
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-08-01,603022.1
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-09-01,563659.48
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-10-01,550656.15
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-11-01,520808.3400000001
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196,2024-12-01,587281.4
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-01-01,369203.41
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-02-01,331154.94
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-03-01,390124.45
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-04-01,384833.23
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-05-01,386140.5
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-06-01,443206.37
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-07-01,378502.67
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-08-01,192699.62
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-09-01,192367.69
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-10-01,246318.21
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744,2024-11-01,286567.01
