Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area,month,normalized_monthly_usage
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-01-01,23839.31
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-02-01,18735.8
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-03-01,14082.81
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-04-01,11537.5
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-05-01,7784.48
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-06-01,53355.86
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-07-01,80637.62
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-08-01,49477.51
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-09-01,8004.370000000001
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-10-01,5870.78
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-11-01,8269.92
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447,2024-12-01,23036.51
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-01-01,15129.8
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-02-01,11758.99
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-03-01,12475.91
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-04-01,5739.81
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-05-01,17476.23
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-06-01,245.49
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-07-01,3532.71
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-08-01,3475.95
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-09-01,3408.41
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-10-01,8537.68
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-11-01,17296.52
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196,2024-12-01,13387.04
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-01-01,15478.21
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-02-01,21112.64
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-03-01,29256.74
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-04-01,20662.46
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-05-01,16913.57
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-06-01,11708.58
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368,2024-07-01,9883.19
