Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
F.J. Horgan Water Treatment Plant,35000838,Utilities / Infrastructure,325447
Island Water Treatment Plant,35000839,Utilities / Infrastructure,64196
W.H. Johnston Pumping Station,35000836,Utilities / Infrastructure,1744
West Toronto Pumping Station,35000837,Utilities / Infrastructure,7739
St. Albans Pumping Station,35000834,Utilities / Infrastructure,3240
Thornhill Pumping Station,35000835,Utilities / Infrastructure,1550
Rosehill Pumping Station,35000832,Utilities / Infrastructure,1550
Scarborough Pumping Station,35000833,Utilities / Infrastructure,9160
R.C. Harris Water Treatment Plant,35000840,Utilities / Infrastructure,115368
R.L. Clark Water Treatment Plant,35000841,Utilities / Infrastructure,401612
Glasgow St Parkette,35058294,Other-Public Services,3064
Maryvale Library,35000342,Education & Social Services,4421
McGregor Park Library,35000343,Education & Social Services,7793
Main Street Library,35000340,Education & Social Services,8664
Maria A Shchuka Library,35000341,Education & Social Services,25475
Locke Library,35000338,Education & Social Services,11647
Long Branch Library,35000339,Education & Social Services,6418
Leaside Library,35000336,Education & Social Services,12000
Lillian H Smith Library,35000337,Education & Social Services,38935
North York Central Library,35000350,Education & Social Services,168022
Northern District Library,35000351,Education & Social Services,117452
New Toronto Library,35000348,Education & Social Services,9925
North York Admin Services,35000349,Education & Social Services,28000
Mount Dennis Library,35000346,Education & Social Services,11350
Mount Pleasant Library,35000347,Education & Social Services,5829
Mimico Library,35000344,Education & Social Services,17469
Morningside Library,35000345,Education & Social Services,7000
Guildwood Library,35000326,Education & Social Services,3010
High Park Library,35000327,Education & Social Services,8850
Gerrard Ashdale Library,35000324,Education & Social Services,6504
Goldhawk Park Library,35000325,Education & Social Services,8000
Fairview Mall Library,35000322,Education & Social Services,69458
Fort York Library,35000323,Education & Social Services,16008
Elmbrook Park Library,35000320,Education & Social Services,3600
Evelyn Gregory Library,35000321,Education & Social Services,6200
Jones Library,35000334,Education & Social Services,3636
Kennedy Eglinton Library,35000335,Education & Social Services,6713
Jane & Dundas Library,35000332,Education & Social Services,11955
Jane Sheppard Library,35000333,Education & Social Services,7000
Humber Bay Library,35000330,Education & Social Services,2400
Humber Summit Library,35000331,Education & Social Services,9040
Highland Creek Library,35000328,Education & Social Services,7000
Hillcrest Library,35000329,Education & Social Services,7473
Toronto Reference Library,35000374,Education & Social Services,434841
Victoria Village Library,35000375,Education & Social Services,5383
Taylor Memorial Library,35000372,Education & Social Services,5000
Thorncliffe Library,35000373,Education & Social Services,11034
St Lawrence Library,35000370,Education & Social Services,4833
Steeles Library,35000371,Education & Social Services,5509
Spadina Road Library,35000368,Education & Social Services,3952
St Clair Silverthorn Library,35000369,Education & Social Services,4587
1440 Lake Shore Blvd W,35000382,Utilities / Infrastructure,1
Algonguin Island Sewage Pumping Station,35000383,Utilities / Infrastructure,75
York Woods Library,35000380,Education & Social Services,42176
Yorkville Library,35000381,Education & Social Services,9053
Woodview Park Library,35000378,Education & Social Services,6658
Wychwood Library,35000379,Education & Social Services,6381
Weston Library,35000376,Education & Social Services,11944
Woodside Square Library,35000377,Education & Social Services,9792
Parliament Library,35000358,Education & Social Services,14634
Perth Dupont Library,35000359,Education & Social Services,3627
Pape Danforth Library,35000356,Education & Social Services,8175
Parkdale Library,35000357,Education & Social Services,24083
Oakwood Village Library,35000354,Education & Social Services,17270
Palmerston Library,35000355,Education & Social Services,8493
Northern Elms Library,35000352,Education & Social Services,3936
NY Central Pop-up Library,35000353,Education & Social Services,1600
Sanderson Library,35000366,Education & Social Services,12702
Scarborough Civic Centre Library,35000367,Education & Social Services,14500
Runnymede Library,35000364,Education & Social Services,12034
S Walter Stewart Library,35000365,Education & Social Services,25847
Richview Library,35000362,Education & Social Services,47252
Riverdale Library,35000363,Education & Social Services,9658
Pleasant View Library,35000360,Education & Social Services,7000
Rexdale Library,35000361,Education & Social Services,5088
Mimico Sewage Pumping Station,35000406,Utilities / Infrastructure,4435
New Toronto Pumping Station,35000407,Utilities / Infrastructure,2067
Midland Sewage Pumping Station,35000404,Utilities / Infrastructure,1
Military Trail Sewage Pumping Station,35000405,Utilities / Infrastructure,1
Lower Simcoe Storm Pumping Station,35000402,Utilities / Infrastructure,1
Martin Grove Sewage Pumping Station,35000403,Utilities / Infrastructure,1
Livingston Rd Sewage Pumping Station,35000400,Utilities / Infrastructure,1
Long Branch Sewage Pumping Station,35000401,Utilities / Infrastructure,3068
Sewells Rd Sewage Pumping Station,35000414,Utilities / Infrastructure,1
Silver Birch Ave Sewage Pumping Station,35000415,Utilities / Infrastructure,1
Riverside Sewage Pumping Station,35000412,Utilities / Infrastructure,1
Scott Sewage Pumping Station,35000413,Utilities / Infrastructure,1
Redlands Sewage Pumping Station,35000410,Utilities / Infrastructure,1
Ridgevalley Sewage PS,35000411,Utilities / Infrastructure,1
Port Union Sewage Pumping Station,35000408,Utilities / Infrastructure,1
Queensway Sewage Pumping Station,35000409,Utilities / Infrastructure,1
Cumber Sewage Pumping Station,35000390,Utilities / Infrastructure,635
Ellis Ave Sewage Pumping Station,35000391,Utilities / Infrastructure,1
Charles Caccia Park Pumping Station,35000388,Utilities / Infrastructure,1
Copeland Sewage PS,35000389,Utilities / Infrastructure,1
Brickyard Pumping Station,35000386,Utilities / Infrastructure,1
Brule Gardens Sewage Pumping Station,35000387,Utilities / Infrastructure,151
Baby Point Sewage Pumping Station,35000384,Utilities / Infrastructure,1
Berry Rd Sewage Pumping Station,35000385,Utilities / Infrastructure,7244
Kennedy Park Sewage Pumping Station,35000398,Utilities / Infrastructure,151
Kingston Rd Sewage Pumping Station,35000399,Utilities / Infrastructure,1
Humber Sewage Pumping Station,35000396,Utilities / Infrastructure,1
Island Rd Sewage Pumping Station,35000397,Utilities / Infrastructure,1
Greyabbey Trail Sewage Pumping Station,35000394,Utilities / Infrastructure,1001
Highfield Sewage Pumping Station,35000395,Utilities / Infrastructure,1
Fallingbrook Sewage Pumping Station,35000392,Utilities / Infrastructure,1
Grand River Sewage Pumping Station,35000393,Utilities / Infrastructure,1
808 Mt. Pleasant Rd.,35000438,Other-Public Services,1
877 Yonge Street,35000439,Other-Public Services,188170
5800 Yonge St,35000436,Other-Public Services,84366
7 Wardlaw Cres,35000437,Other-Public Services,1470
233 Carlton St (Drop-in Centre),35000434,Other-Public Services,12754
545 Lakeshore Blvd W (Homes First),35000435,Other-Public Services,90040
1684 Queen St,35000432,Other-Public Services,1
222 Spadina Ave,35000433,Other-Public Services,72301
Dixon Hall Respite,35000446,Other-Public Services,10000
Downsview Dell,35000447,Other-Public Services,5199
Bellwoods House,35000444,Other-Public Services,3224
Birkdale Residence,35000445,Other-Public Services,35692
Asquith Green Social Housing,35000442,Other-Public Services,6329
Assessment & Referral Ctr,35000443,Other-Public Services,11780
9 Wardlaw Cres,35000440,Other-Public Services,1632
Adelaide Resource Centre for Women,35000441,Other-Public Services,15888
Warren Park Sewage Pumping Station,35000422,Utilities / Infrastructure,1
West Point Sewage Pumping Station,35000423,Utilities / Infrastructure,1
Valleymede Sewage Pumping Stn,35000420,Utilities / Infrastructure,1
Ward's Island Sewage Pumping Station,35000421,Utilities / Infrastructure,1
Swansea Sewage Pumping Station,35000418,Utilities / Infrastructure,527
Todmorden Mills Pumping Station,35000419,Utilities / Infrastructure,1
Southport St Sewage Pumping Station,35000416,Utilities / Infrastructure,1
Strachan Sewage Pumping Station,35000417,Utilities / Infrastructure,1
101 Placer Court,35000430,Other-Public Services,19200
1155 King St W (Respite),35000431,Other-Public Services,9000
Main Treatment Plant,35000428,Utilities / Infrastructure,378438
North Toronto Treatment Plant,35000429,Utilities / Infrastructure,21786
Highland Creek Treatment Plant,35000426,Utilities / Infrastructure,255395
Humber Treatment Plant,35000427,Utilities / Infrastructure,224869
West Rouge Sewage Pumping Station,35000424,Utilities / Infrastructure,3229
Wirral Crt Sewage Pumping Station,35000425,Utilities / Infrastructure,1
668A The Queensway,35000470,Other-Public Services,1
705 Progress Ave (Library Storage),35000471,Other-Public Services,5001
5 Bartonville Ave,35000468,Other-Public Services,3606
545 Commissioners St,35000469,Other-Public Services,32679
4001 Kingston Rd,35000466,Other-Public Services,1
46A Chartway Blvd,35000467,Other-Public Services,1
2 Sheffield St,35000464,Other-Public Services,1
2200 Yonge St,35000465,Other-Public Services,1
Bering Yd - Garage (Bldg D),35000478,Other-Public Services,7589
Bering Yd - Maintenance (Bldg B),35000479,Other-Public Services,13401
Bering Truck Shelter,35000476,Other-Public Services,8633
Bering Yd - Admin (Bldg E),35000477,Other-Public Services,9698
Bentworth Park Yard - Bldg 1,35000474,Other-Public Services,5554
Bentworth Park Yard - Bldg 2,35000475,Other-Public Services,6330
Alliance Overhead Shop,35000472,Other-Public Services,34952
Alness Yard,35000473,Other-Public Services,25715
Homes First GSR Site,35000454,Other-Public Services,14634
Islington Seniors' Shelter,35000455,Other-Public Services,21328
GSR Transition Site (705 Progress),35000452,Other-Public Services,26730
GSR Transition Site (731 Runnymede Rd),35000453,Other-Public Services,19383
Fred Victor Respite,35000450,Other-Public Services,9000
GSR Transition Site (2299 Dundas),35000451,Other-Public Services,22648
Family Residence,35000448,Other-Public Services,39999
Fort York Residence,35000449,Other-Public Services,25995
150 Disco Rd,35000462,Other-Public Services,10570
1904 Brimley Rd.,35000463,Other-Public Services,301
Women's Residence,35000460,Other-Public Services,28255
YWCA Women's Shelter,35000461,Other-Public Services,17000
Seaton House,35000458,Other-Public Services,97995
Warden Woods Respite,35000459,Other-Public Services,7565
Robertson House,35000456,Other-Public Services,19795
Scarborough Village Residence,35000457,Other-Public Services,29870
Finch Yard,35000502,Other-Public Services,148198
Former PMMD Warehouse,35000503,Other-Public Services,22604
Ellesmere Yard,35000500,Other-Public Services,138069
Emery Parks Yard,35000501,Other-Public Services,18998
Eastern Ave Yard - Office,35000498,Other-Public Services,84701
Eglinton Flats Service Building,35000499,Other-Public Services,5705
Dufferin Maintenance Yard,35000496,Other-Public Services,31667
Eastern Ave Yard  - Equipment Shop,35000497,Other-Public Services,9698
Kipling Yard - Toronto Water,35000510,Other-Public Services,11001
Leslie Barns,35000511,Other-Public Services,279862
Kipling & Steeles,35000508,Other-Public Services,1
Kipling Yard - PF&R,35000509,Other-Public Services,27373
Joel Weeks Park - Storage Bldg,35000506,Other-Public Services,183
King St Yard,35000507,Other-Public Services,83485
Hamilton Street Yard,35000504,Other-Public Services,2756
Ingram Yard,35000505,Other-Public Services,23907
Brimley Parks Yard,35000486,Other-Public Services,2809
Caledonia Road Service Yard,35000487,Other-Public Services,1981
Birchmount Park Yard,35000484,Other-Public Services,15317
Booth Avenue Yard,35000485,Other-Public Services,236645
Bermondsey Yard - SWM,35000482,Other-Public Services,66155
Bermondsey Yard - Transportation,35000483,Other-Public Services,4618
Bering Yd - Storage (Bldg F),35000480,Other-Public Services,9881
Bering Yd - Warehouse (Bldg A),35000481,Other-Public Services,4596
Disco Yd Bldg C- Vehicle Maint,35000494,Other-Public Services,22959
Disco Yd Bldg D- North Garage,35000495,Other-Public Services,24445
Disco Yd Bldg A- Employee Bldg,35000492,Other-Public Services,7998
Disco Yd Bldg B- South Garage,35000493,Other-Public Services,28029
Danforth Carhouse & Garage,35000490,Other-Public Services,62834
