Property Name,Portfolio Manager ID,Property Type - Self-Selected,Gross Floor Area
F.J. Horgan Water Treatment Plant,35000838,Drinking Water Treatment & Distribution,325447
Island Water Treatment Plant,35000839,Drinking Water Treatment & Distribution,64196
W.H. Johnston Pumping Station,35000836,Drinking Water Treatment & Distribution,1744
West Toronto Pumping Station,35000837,Drinking Water Treatment & Distribution,7739
St. Albans Pumping Station,35000834,Drinking Water Treatment & Distribution,3240
Thornhill Pumping Station,35000835,Drinking Water Treatment & Distribution,1550
Rosehill Pumping Station,35000832,Drinking Water Treatment & Distribution,1550
Scarborough Pumping Station,35000833,Drinking Water Treatment & Distribution,9160
R.C. Harris Water Treatment Plant,35000840,Drinking Water Treatment & Distribution,115368
R.L. Clark Water Treatment Plant,35000841,Drinking Water Treatment & Distribution,401612
Glasgow St Parkette,35058294,Other - Public Services,3064
Maryvale Library,35000342,Library,4421
McGregor Park Library,35000343,Library,7793
Main Street Library,35000340,Library,8664
Maria A Shchuka Library,35000341,Library,25475
Locke Library,35000338,Library,11647
Long Branch Library,35000339,Library,6418
Leaside Library,35000336,Library,12000
Lillian H Smith Library,35000337,Library,38935
North York Central Library,35000350,Library,168022
Northern District Library,35000351,Library,117452
New Toronto Library,35000348,Library,9925
North York Admin Services,35000349,Library,28000
Mount Dennis Library,35000346,Library,11350
Mount Pleasant Library,35000347,Library,5829
Mimico Library,35000344,Library,17469
Morningside Library,35000345,Library,7000
Guildwood Library,35000326,Library,3010
High Park Library,35000327,Library,8850
Gerrard Ashdale Library,35000324,Library,6504
Goldhawk Park Library,35000325,Library,8000
Fairview Mall Library,35000322,Library,69458
Fort York Library,35000323,Library,16008
Elmbrook Park Library,35000320,Library,3600
Evelyn Gregory Library,35000321,Library,6200
Jones Library,35000334,Library,3636
Kennedy Eglinton Library,35000335,Library,6713
Jane & Dundas Library,35000332,Library,11955
Jane Sheppard Library,35000333,Library,7000
Humber Bay Library,35000330,Library,2400
Humber Summit Library,35000331,Library,9040
Highland Creek Library,35000328,Library,7000
Hillcrest Library,35000329,Library,7473
Toronto Reference Library,35000374,Library,434841
Victoria Village Library,35000375,Library,5383
Taylor Memorial Library,35000372,Library,5000
Thorncliffe Library,35000373,Library,11034
St Lawrence Library,35000370,Library,4833
Steeles Library,35000371,Library,5509
Spadina Road Library,35000368,Library,3952
St Clair Silverthorn Library,35000369,Library,4587
1440 Lake Shore Blvd W,35000382,Wastewater Treatment Plant,1
Algonguin Island Sewage Pumping Station,35000383,Wastewater Treatment Plant,75
York Woods Library,35000380,Library,42176
Yorkville Library,35000381,Library,9053
Woodview Park Library,35000378,Library,6658
Wychwood Library,35000379,Library,6381
Weston Library,35000376,Library,11944
Woodside Square Library,35000377,Library,9792
Parliament Library,35000358,Library,14634
Perth Dupont Library,35000359,Library,3627
Pape Danforth Library,35000356,Library,8175
Parkdale Library,35000357,Library,24083
Oakwood Village Library,35000354,Library,17270
Palmerston Library,35000355,Library,8493
Northern Elms Library,35000352,Library,3936
NY Central Pop-up Library,35000353,Library,1600
Sanderson Library,35000366,Library,12702
Scarborough Civic Centre Library,35000367,Library,14500
Runnymede Library,35000364,Library,12034
S Walter Stewart Library,35000365,Library,25847
Richview Library,35000362,Library,47252
Riverdale Library,35000363,Library,9658
Pleasant View Library,35000360,Library,7000
Rexdale Library,35000361,Library,5088
Mimico Sewage Pumping Station,35000406,Wastewater Treatment Plant,4435
New Toronto Pumping Station,35000407,Wastewater Treatment Plant,2067
Midland Sewage Pumping Station,35000404,Wastewater Treatment Plant,1
Military Trail Sewage Pumping Station,35000405,Wastewater Treatment Plant,1
Lower Simcoe Storm Pumping Station,35000402,Wastewater Treatment Plant,1
Martin Grove Sewage Pumping Station,35000403,Wastewater Treatment Plant,1
Livingston Rd Sewage Pumping Station,35000400,Wastewater Treatment Plant,1
Long Branch Sewage Pumping Station,35000401,Wastewater Treatment Plant,3068
Sewells Rd Sewage Pumping Station,35000414,Wastewater Treatment Plant,1
Silver Birch Ave Sewage Pumping Station,35000415,Wastewater Treatment Plant,1
Riverside Sewage Pumping Station,35000412,Wastewater Treatment Plant,1
Scott Sewage Pumping Station,35000413,Wastewater Treatment Plant,1
Redlands Sewage Pumping Station,35000410,Wastewater Treatment Plant,1
Ridgevalley Sewage PS,35000411,Wastewater Treatment Plant,1
Port Union Sewage Pumping Station,35000408,Wastewater Treatment Plant,1
Queensway Sewage Pumping Station,35000409,Wastewater Treatment Plant,1
Cumber Sewage Pumping Station,35000390,Wastewater Treatment Plant,635
Ellis Ave Sewage Pumping Station,35000391,Wastewater Treatment Plant,1
Charles Caccia Park Pumping Station,35000388,Wastewater Treatment Plant,1
Copeland Sewage PS,35000389,Wastewater Treatment Plant,1
Brickyard Pumping Station,35000386,Wastewater Treatment Plant,1
Brule Gardens Sewage Pumping Station,35000387,Wastewater Treatment Plant,151
Baby Point Sewage Pumping Station,35000384,Wastewater Treatment Plant,1
Berry Rd Sewage Pumping Station,35000385,Wastewater Treatment Plant,7244
Kennedy Park Sewage Pumping Station,35000398,Wastewater Treatment Plant,151
Kingston Rd Sewage Pumping Station,35000399,Wastewater Treatment Plant,1
Humber Sewage Pumping Station,35000396,Wastewater Treatment Plant,1
Island Rd Sewage Pumping Station,35000397,Wastewater Treatment Plant,1
Greyabbey Trail Sewage Pumping Station,35000394,Wastewater Treatment Plant,1001
Highfield Sewage Pumping Station,35000395,Wastewater Treatment Plant,1
Fallingbrook Sewage Pumping Station,35000392,Wastewater Treatment Plant,1
Grand River Sewage Pumping Station,35000393,Wastewater Treatment Plant,1
808 Mt. Pleasant Rd.,35000438,Other - Public Services,1
877 Yonge Street,35000439,Other - Public Services,188170
5800 Yonge St,35000436,Other - Public Services,84366
7 Wardlaw Cres,35000437,Other - Public Services,1470
233 Carlton St (Drop-in Centre),35000434,Other - Public Services,12754
545 Lakeshore Blvd W (Homes First),35000435,Other - Public Services,90040
1684 Queen St,35000432,Other - Public Services,1
222 Spadina Ave,35000433,Other - Public Services,72301
Dixon Hall Respite,35000446,Other - Public Services,10000
Downsview Dell,35000447,Other - Public Services,5199
Bellwoods House,35000444,Other - Public Services,3224
Birkdale Residence,35000445,Other - Public Services,35692
Asquith Green Social Housing,35000442,Other - Public Services,6329
Assessment & Referral Ctr,35000443,Other - Public Services,11780
9 Wardlaw Cres,35000440,Other - Public Services,1632
Adelaide Resource Centre for Women,35000441,Other - Public Services,15888
Warren Park Sewage Pumping Station,35000422,Wastewater Treatment Plant,1
West Point Sewage Pumping Station,35000423,Wastewater Treatment Plant,1
Valleymede Sewage Pumping Stn,35000420,Wastewater Treatment Plant,1
Ward's Island Sewage Pumping Station,35000421,Wastewater Treatment Plant,1
Swansea Sewage Pumping Station,35000418,Wastewater Treatment Plant,527
Todmorden Mills Pumping Station,35000419,Wastewater Treatment Plant,1
Southport St Sewage Pumping Station,35000416,Wastewater Treatment Plant,1
